id,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,A1_freq,A2_freq,A3_freq,A4_freq,A5_freq,A6_freq,A7_freq,A8_freq,A9_freq,A10_freq,C1_perc,C2_perc,C3_perc,C4_perc,C5_perc,C6_perc,C7_perc,C8_perc,C9_perc,C10_perc
033G,12,25-Feb,378,832/2499,2,301833,,8,,,1,1,1,1,1.0,1,,1,,,0:13:094/14/2024 13:05,0:13:154/14/2024 13:05,0:13:084/14/2024 13:05,0:17:114/14/2024 13:05,0:46:084/14/2024 13:05,0:25:204/14/2024 13:05,0:48:044/14/2024 13:05,0:46:314/14/2024 13:05,,0:43:344/14/2024 13:05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5816554809843401,0.5522388059701493,0.5646100116414435,0.5175675675675676,0.2692307692307692,0.32083333333333336,0.0975254730713246,0.32639791937581275,0.0706605222734255,0.2495921696574225
033H,12,25-Feb,378,832/2499,2,301833,,8,,,1,1,1,1,1.0,1,,1,,,0:02:264/14/2024 13:05,0:16:304/14/2024 13:05,0:14:254/14/2024 13:05,0:46:544/14/2024 13:05,0:43:474/14/2024 13:05,0:48:574/14/2024 13:05,,0:49:014/14/2024 13:05,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5816554809843401,0.5522388059701493,0.5646100116414435,0.5175675675675676,0.2692307692307692,0.32083333333333336,0.0975254730713246,0.32639791937581275,0.0706605222734255,0.2495921696574225
034A,12,25-Feb,378,832/2499,2,301833,12sqrt26 / 13,4,29,1030301/2,1,1,1,1,1.0,1,0.0,0,1.0,1.0,0:17:354/14/2024 13:05,0:20:374/14/2024 13:05,0:20:414/14/2024 13:05,0:09:134/14/2024 13:05,0:09:164/14/2024 13:05,0:09:234/14/2024 13:05,0:13:524/14/2024 13:05,0:48:454/14/2024 13:05,0:14:364/14/2024 13:05,0:25:094/14/2024 13:05,0.0,0.0,0.0,0.0,0.0,0.0,0.0016129032258064516,,0.0,0.0,0.5816554809843401,0.5522388059701493,0.5646100116414435,0.5175675675675676,0.2692307692307692,0.32083333333333336,0.0975254730713246,0.32639791937581275,0.0706605222734255,0.2495921696574225
034H,12,5-Jun,378,832/2499,2,301833,(4sqrt{30})/5,8,29,1030301/2,1,0,1,1,1.0,1,1.0,1,1.0,1.0,0:01:104/14/2024 13:05,0:02:254/14/2024 13:05,0:03:504/14/2024 13:05,0:06:434/14/2024 13:05,0:35:264/14/2024 13:05,0:36:464/14/2024 13:05,0:11:024/14/2024 13:05,0:13:304/14/2024 13:05,0:37:264/14/2024 13:05,0:23:454/14/2024 13:05,0.0,0.011111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5816554809843401,0.5522388059701493,0.5646100116414435,0.5175675675675676,0.2692307692307692,0.32083333333333336,0.0975254730713246,0.32639791937581275,0.0706605222734255,0.2495921696574225
057D,12,25-Feb,378,832/2499,,301833,{4\sqrt30}/5,8,,,1,1,1,1,,1,1.0,1,,,0:04:004/14/2024 13:04,0:17:494/14/2024 13:04,0:34:094/14/2024 13:04,0:08:594/14/2024 13:04,0:39:104/14/2024 13:04,0:25:144/14/2024 13:04,0:41:214/14/2024 13:04,0:38:254/14/2024 13:04,0:47:324/14/2024 13:04,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5816554809843401,0.5522388059701493,0.5646100116414435,0.5175675675675676,0.2692307692307692,0.32083333333333336,0.0975254730713246,0.32639791937581275,0.0706605222734255,0.2495921696574225
074A,12,25-Feb,378,832/2499,2,300833,(4sqrt30)/5,8,64,1030301/2,1,1,1,1,1.0,0,1.0,1,0.0,1.0,0:03:174/14/2024 13:04,0:37:484/14/2024 13:04,0:07:504/14/2024 13:04,0:08:184/14/2024 13:04,0:46:424/14/2024 13:04,0:07:484/14/2024 13:04,0:38:054/14/2024 13:04,0:38:084/14/2024 13:04,0:38:114/14/2024 13:04,0:15:114/14/2024 13:04,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.09586776859504133,0.0,0.5816554809843401,0.5522388059701493,0.5646100116414435,0.5175675675675676,0.2692307692307692,0.32083333333333336,0.0975254730713246,0.32639791937581275,0.0706605222734255,0.2495921696574225
074C,12,25-Feb,378,832/2499,sqrt3/3,300833,(4sqrt30)/5,8,64,1030301/2,1,1,1,1,0.0,0,1.0,1,0.0,1.0,0:06:034/14/2024 13:04,0:09:344/14/2024 13:04,0:08:004/14/2024 13:04,0:09:324/14/2024 13:04,0:49:554/14/2024 13:04,0:36:584/14/2024 13:04,0:37:164/14/2024 13:04,0:12:334/14/2024 13:04,0:21:054/14/2024 13:04,0:11:494/14/2024 13:04,0.0,0.0,0.0,0.0,0.004210526315789474,,0.0,0.0,0.09586776859504133,0.0,0.5816554809843401,0.5522388059701493,0.5646100116414435,0.5175675675675676,0.2692307692307692,0.32083333333333336,0.0975254730713246,0.32639791937581275,0.0706605222734255,0.2495921696574225
074D,12,25-Feb,378,832/2499,-1,300833,(4sqrt30)/5,8,64,101^3/2,1,1,1,1,0.0,0,1.0,1,0.0,1.0,0:02:074/14/2024 13:05,0:19:504/14/2024 13:05,0:03:564/14/2024 13:05,0:12:024/14/2024 13:05,0:49:234/14/2024 13:05,0:21:034/14/2024 13:05,0:37:264/14/2024 13:05,0:12:444/14/2024 13:05,0:36:404/14/2024 13:05,0:18:214/14/2024 13:05,0.0,0.0,0.0,0.0,0.02736842105263158,,0.0,0.0,0.09586776859504133,0.0,0.5816554809843401,0.5522388059701493,0.5646100116414435,0.5175675675675676,0.2692307692307692,0.32083333333333336,0.0975254730713246,0.32639791937581275,0.0706605222734255,0.2495921696574225
074F,12,25-Feb,378,832/2499,1,300833,(4sqrt30)/5,8,64,1030301/2,1,1,1,1,0.0,0,1.0,1,0.0,1.0,0:04:354/14/2024 13:04,0:09:204/14/2024 13:04,0:07:084/14/2024 13:04,0:09:094/14/2024 13:04,0:38:064/14/2024 13:04,0:19:194/14/2024 13:04,0:38:014/14/2024 13:04,0:12:274/14/2024 13:04,0:42:504/14/2024 13:04,0:43:114/14/2024 13:04,0.0,0.0,0.0,0.0,0.18526315789473685,,0.0,0.0,0.09586776859504133,0.0,0.5816554809843401,0.5522388059701493,0.5646100116414435,0.5175675675675676,0.2692307692307692,0.32083333333333336,0.0975254730713246,0.32639791937581275,0.0706605222734255,0.2495921696574225
074G,12,25-Feb,378,832/2499,1,300383,(4sqrt(30))/5,8,64,1030301/2,1,1,1,1,0.0,0,1.0,1,0.0,1.0,0:01:324/14/2024 13:04,0:20:324/14/2024 13:04,0:03:574/14/2024 13:04,0:20:564/14/2024 13:04,0:49:034/14/2024 13:04,0:24:024/14/2024 13:04,0:37:214/14/2024 13:04,0:13:294/14/2024 13:04,0:21:024/14/2024 13:04,0:16:194/14/2024 13:04,0.0,0.0,0.0,0.0,0.18526315789473685,,0.0,0.0,0.09586776859504133,0.0,0.5816554809843401,0.5522388059701493,0.5646100116414435,0.5175675675675676,0.2692307692307692,0.32083333333333336,0.0975254730713246,0.32639791937581275,0.0706605222734255,0.2495921696574225
